Projektbeginn 24.01.2016;
Beginn;Dauer
12.1.2020 20:58;1205
18.1.2020 10:42;2
31.1.2020 8:41;6235
1.2.2020 10:15;3012
2.2.2020 11:0;3010
9.2.2020 9:15;133
9.2.2020 9:22;4500
9.2.2020 11:24;10327
16.2.2020 12:25;1397
16.2.2020 17:30;2372
17.2.2020 19:19;2510
10.3.2020 19:30;1796
15.3.2020 9:59;6408
16.4.2020 11:13;1291
3.5.2020 10:26;3127
10.5.2020 8:34;7485
10.5.2020 11:17;3685
11.5.2020 20:47;891
15.5.2020 20:37;3481
16.5.2020 8:18;4750
16.5.2020 9:48;709
17.5.2020 8:57;3329
24.5.2020 9:9;701
24.5.2020 9:32;4123
24.5.2020 11:0;4727
24.5.2020 12:22;1491
24.5.2020 22:0;3223
26.5.2020 20:24;869
6.6.2020 11:48;2573
7.6.2020 8:46;4004
8.6.2020 20:3;915
10.6.2020 7:13;1690
17.6.2020 20:8;2718
24.6.2020 19:16;4969
25.6.2020 21:46;897
28.6.2020 13:49;21
28.6.2020 13:49;3259
28.6.2020 20:31;1869
30.6.2020 22:4;3843
2.7.2020 20:13;2050
3.7.2020 6:52;2895
10.7.2020 7:8;1275
18.7.2020 8:53;6374
18.7.2020 12:42;1775
19.7.2020 8:20;960
19.7.2020 8:45;525
28.7.2020 19:29;677
29.7.2020 20:41;2495
1.8.2020 9:35;1521
1.8.2020 10:42;234
2.8.2020 11:8;3109
2.8.2020 12:1;2487
2.8.2020 12:47;4766
2.8.2020 14:18;2971
3.8.2020 22:11;3319
13.8.2020 19:25;242
21.8.2020 22:24;3600
23.8.2020 10:35;6256
26.8.2020 20:12;1579
28.8.2020 20:15;3136
29.8.2020 13:37;4178
3.9.2020 12:52;2673
6.9.2020 12:29;3065
6.9.2020 13:26;1802
6.9.2020 19:44;1610
7.9.2020 19:8;4356
11.9.2020 10:45;2097
12.9.2020 8:43;1012
12.9.2020 9:3;656
12.9.2020 9:25;6086
12.9.2020 11:30;2700
13.9.2020 10:36;404;
20.9.2020 9:3;3666;
20.9.2020 11:8;5350;
1.10.2020 7:28;1411;
4.10.2020 8:55;1502;
4.10.2020 9:27;1357;
4.10.2020 9:56;30;
4.10.2020 10:10;1687;
4.10.2020 11:53;4474;
25.10.2020 12:59;8725;
26.12.2020 9:36;4966;
27.12.2020 11:12;2909;
30.12.2020 11:46;10437
1.1.2021 13:32;2778;
1.1.2021 20:12;3844;
3.1.2021 13:6;7908;
3.1.2021 18:25;4246;
4.1.2021 11:37;3364;
7.1.2021 8:45;3600;
7.1.2021 15:16;6345;
7.1.2021 17:23;2103;
8.1.2021 12:22;1703;
8.1.2021 12:55;4811;
8.1.2021 14:33;6901;
9.1.2021 13:54;2210;
9.1.2021 14:36;8851;
10.1.2021 13:46;1416;
11.1.2021 20:57;9696;
31.1.2021 11:4;1417;
3.2.2021 20:11;864;
6.2.2021 19:24;1953;
14.2.2021 10:6;3270;
14.2.2021 11:4;6164;
27.2.2021 10:39;6556;
7.3.2021 8:36;2922;
7.3.2021 11:48;4329;
21.3.2021 10:16;2346;
24.3.2021 20:34;6967;
1.4.2021 9:17;3338;
9.4.2021 10:51;2405;
9.4.2021 17:53;5241;
25.4.2021 11:11;5680;
2.5.2021 21:3;2009;
15.5.2021 18:45;3939;
21.06.2021 19:45;1800;
24.6.2021 7:38;1269;
27.6.2021 11:28;4806;
30.6.2021 19:51;1494;
4.7.2021 9:29;3485;
10.7.2021 15:7;744;
14.7.2021 6:22;2436;
15.7.2021 18:32;6169;
17.7.2021 14:40;4255;
19.7.2021 20:9;1475;
31.7.2021 9:27;3418;
1.8.2021 9:36;1195;
1.8.2021 10:9;0;
1.8.2021 10:9;1259;
1.8.2021 10:51;16849;
7.8.2021 10:29;4792;
8.8.2021 9:16;11816;
11.8.2021 19:31;3793;
15.8.2021 13:17;4355;
29.8.2021 18:26;1411;
2.9.2021 12:9;6094;
27.9.2021 19:59;2311;
6.10.2021 19:57;1203;
15.10.2021 9:5;3574;
15.10.2021 10:28;8253;
16.10.2021 8:54;4374;
16.10.2021 10:7;1588;
16.10.2021 11:00;11460;
17.10.2021 12:53;1409;
17.10.2021 13:47;1800;
25.10.2021 19:38;1945;
1.11.2021 9:54;1367;
1.11.2021 10:40;3267;
1.11.2021 13:47;4364;
5.11.2021 19:56;3783;
9.11.2021 6:43;2296;
14.11.2021 16:48;3066;
14.11.2021 19:15;360
5.11.2021 19:15;3016;
21.11.2021 11:8;1933;
28.11.2021 13:22;4142;
10.1.2022 20:7;4963;
16.1.2022 11:33;8787;
17.1.2022 20:30;1200;
19.1.2022 20:13;2788;
23.1.2022 17:41;748;
30.1.2022 11:34;3379;
30.1.2022 12:31;1;
11.2.2022 19:34;1681;
14.2.2022 19:23;872;
22.2.2022 20:3;522;
26.2.2022 13:53;2097;
27.2.2022 8:57;4819;
2.3.2022 19:47;1455;
10.3.2022 22:37;3683;
19.3.2022 8:20;4603;
20.3.2022 7:46;8791;
23.3.2022 6:43;2556;
24.3.2022 19:52;2045;
27.3.2022 17:34;5054;
3.4.2022 8:18;6366;
5.4.2022 6:45;1495;
7.4.2022 6:56;1538;
9.4.2022 14:45;5400;
10.4.2022 22:35;2644;
24.4.2022 11:37;8964;
18.10.2022 20:00;10800
21.10.2022 18:4;1638;
30.10.2022 11:42;2947;
30.10.2022 14:33;670;
30.10.2022 16:32;12110;
16.11.2022 17:15;7200;
10.03.2023 20:00;3600;
